City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Airai,100,TL,1581475631,72,-8.93,125.41,78.37,4.09
Hasaki,20,JP,1581475631,46,35.73,140.83,55.0,8.05
Zhigansk,100,RU,1581475632,94,66.77,123.37,-14.42,11.54
Bredasdorp,1,ZA,1581475632,82,-34.53,20.04,68.0,12.75
Puerto Ayora,68,EC,1581475632,82,-0.74,-90.35,78.64,4.47
East London,70,ZA,1581475464,81,-33.02,27.91,69.85,13.0
New Norfolk,75,AU,1581475632,77,-42.78,147.06,70.0,13.87
Verkh-Usugli,0,RU,1581475632,47,52.7,115.17,12.13,4.85
Rikitea,100,PF,1581475633,80,-23.12,-134.97,78.96,20.56
Severo-Kuril'sk,76,RU,1581475633,87,50.68,156.12,22.66,16.4
Kaitangata,100,NZ,1581475633,57,-46.28,169.85,73.99,1.01
Saint-Augustin,100,CA,1581475633,97,51.23,-58.65,14.97,3.09
Pakokku,0,MM,1581475633,41,21.33,95.1,74.23,7.14
Dingzhou,0,CN,1581475633,60,38.51,115.0,41.0,2.24
Hermanus,0,ZA,1581475633,89,-34.42,19.23,71.01,8.01
Necochea,0,AR,1581475339,91,-38.55,-58.74,63.0,7.0
Bilma,33,NE,1581475634,26,18.69,12.92,54.99,4.14
Hithadhoo,62,MV,1581475634,74,-0.6,73.08,83.08,18.07
Okhotsk,100,RU,1581475634,92,59.38,143.3,0.82,0.63
Cidreira,15,BR,1581475634,75,-30.18,-50.21,73.17,20.62
Port Lincoln,100,AU,1581475634,65,-34.73,135.87,68.14,11.61
Kampot,40,KH,1581475635,66,10.62,104.18,84.2,11.41
Vestmannaeyjar,0,IS,1581475635,65,63.44,-20.27,26.98,18.95
Eirunepe,100,BR,1581475635,96,-6.66,-69.87,73.94,1.07
Mataura,78,NZ,1581475635,79,-46.19,168.86,62.01,8.01
Hegang,64,CN,1581475635,95,47.4,130.37,31.1,1.25
Vardo,22,NO,1581475635,79,70.37,31.11,31.53,19.62
Esperance,90,AU,1581475636,72,-33.87,121.9,68.0,8.05
Cape Town,0,ZA,1581475636,82,-33.93,18.42,71.01,1.12
Yellowknife,5,CA,1581475636,73,62.46,-114.35,-34.01,3.36
Pevek,0,RU,1581475636,67,69.7,170.31,-8.68,5.06
Forbes,0,AU,1581475636,41,-33.38,148.02,90.0,1.01
